# Pathway	R1-1	R1-2	R1-3	R1-4	R1-5	R2-1	R2-2	R2-3	R2-4	R2-5	R3-1	R3-2	R3-3	R3-4	R3-5	R4-1	R4-2	R4-3	R4-4	R4-5	R5-1	R5-2	R5-3	R5-4	R5-5	R6-1	R6-2	R6-3	R6-4	R6-5	S1-1	S1-2	S1-3	S1-4	S1-5	S2-1	S2-2	S2-3	S2-4	S2-5	S3-1	S3-2	S3-3	S3-4	S3-5	S4-1	S4-2	S4-3	S4-4	S4-5	S5-1	S5-2	S5-3	S5-4	S5-5	S6-1	S6-2	S6-3	S6-4	S6-5
UNMAPPED	1297519.3802867245	1461254.6744330961	1262401.6055496377	1290917.3765965614	1300965.7836241527	1375630.1281682551	983444.4955762282	1204243.4422005499	957159.2134806548	1053895.3862522177	1285973.8154874537	1437090.9278258267	1273882.5654351469	1380038.7654311787	1390369.5661789593	1336573.7055277571	1352890.8613762008	1515181.9083736825	1309289.4401230984	1407097.8696108030	1146602.8578578017	1257132.6570106645	1504461.3597871826	1222544.6919917536	1410179.3566035344	1297930.8100159413	1508333.6438036582	1306081.0418850640	1500632.3798686524	1506047.7548175470	1411521.1245467539	1469061.7707084774	1358780.7346029952	1529439.4135919544	1276485.7152481847	1461138.5905588719	1415743.1290337280	1323949.4974489002	1371830.5225937951	1364180.2755299271	1437746.5223780426	1697658.2500733952	1956592.6435413382	1391431.3533135133	2292014.5004925532	1453379.9064366601	1449974.3800723078	1391160.5322793210	1581193.6630732319	1349210.8401674458	1820139.4867083079	1350756.4317734921	1422443.2672685478	1518963.5044587192	1373883.4068901609	1630009.5591024216	1484850.5124113103	1290364.8141406015	1465989.3923080137	1477858.3878263175
UNINTEGRATED	1193520.7576479092	1183889.8722544154	1008670.7483706524	1082729.0559098683	1086165.2395384801	1211117.4307738522	772163.1861090058	1294216.0551651642	688891.5391361992	1003197.6864818526	983174.6360553874	1231768.2758202264	999706.8920740711	1097549.6964063847	1164863.3407007849	1128592.7358998389	1120222.9170956307	1262610.4779696951	1060833.2130171768	1167189.0833905928	1192981.7889727862	1110847.1427411919	1329540.2506345776	1229710.0743462420	1209095.7928963236	1143461.8584936312	1289702.8063103431	1109298.9412047195	1296523.8888396570	1269339.0446124403	1118173.5417761542	1123099.8442976514	1036361.5705162889	1172451.3851592906	969402.5781334939	1121629.5074512286	1083590.7285549259	984831.4554816333	1025827.6094762742	1076601.6612054885	1139705.1566152021	1349509.4315498883	1592846.9861058602	1078846.7058750940	1962171.8014943602	1161424.3111292094	1133076.0885671736	1084294.6932426381	1212227.0721494686	1022056.5836197555	1546543.7087235837	998542.7016994663	1089571.9546699638	1175204.1888533849	1048501.3115990385	1261252.9332223244	1151808.8230538080	943877.5415928466	1132871.2260459743	1133093.2219235583
UNINTEGRATED|g__Achromobacter.s__Achromobacter_marplatensis	0	0	35.6336938626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.1933107868	11.6229965882	0	110.5539194092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Achromobacter.s__Achromobacter_mucicolens	0	0	55.3446233323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Achromobacter.s__Achromobacter_piechaudii	0	0	14.8864965224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8517574720	4.0071639003	0	29.4367939686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	35.4699125587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_baumannii	255.7027638109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_bereziniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.4120933988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_calcoaceticus	123.4300150617	0	0	0	1978.7214058808	703.7606308435	0	1276.9397068869	371.2902416381	0	0	0	0	0	0	0	0	0	0	0	53.2745038448	391.5981011084	0	0	0	0	536.9338248048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_oleivorans	0	0	0	0	2031.4707150096	769.0171062533	0	1245.0042370414	293.4257895273	0	0	0	0	0	0	0	0	0	0	0	185.1210603950	538.6227732308	0	0	0	0	628.7518406902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
