# Pathway	R1-1	R1-2	R1-3	R1-4	R1-5	R2-1	R2-2	R2-3	R2-4	R2-5	R3-1	R3-2	R3-3	R3-4	R3-5	R4-1	R4-2	R4-3	R4-4	R4-5	R5-1	R5-2	R5-3	R5-4	R5-5	R6-1	R6-2	R6-3	R6-4	R6-5	S1-1	S1-2	S1-3	S1-4	S1-5	S2-1	S2-2	S2-3	S2-4	S2-5	S3-1	S3-2	S3-3	S3-4	S3-5	S4-1	S4-2	S4-3	S4-4	S4-5	S5-1	S5-2	S5-3	S5-4	S5-5	S6-1	S6-2	S6-3	S6-4	S6-5
UNMAPPED	8030893.8611432482	8704539.0313092321	7786911.3182310127	7586156.5434060246	7992414.7070593573	8524642.1746233720	6205627.7501019426	8108910.8808510574	5940021.9386034766	6787491.1335638613	7774043.7918516593	8338591.9484231276	8320759.1546226619	8254306.7929082382	8070366.5215331316	8404394.7590254974	8189934.3830970870	8705681.3222134542	7797268.9305907125	8540847.4291496463	7717802.1006937921	7686210.5834878813	9007490.5516314656	7620126.1806884073	8799240.2634066455	8125941.6978164231	9000680.0777816474	8067453.3671930404	8965500.2540344838	9135409.1086847875	8308144.8029735507	8586273.0849099737	7990696.6856299425	8888653.6615280565	7510259.0342061967	8507714.5167794451	8213863.9040885149	7815713.0653111683	8096466.0434705541	7872234.4537681434	8209393.6164969215	9796414.3664383851	11115472.2866747845	7990197.0576041033	13015302.9223604929	8472700.9246986620	8380467.0982535472	7999802.9376857607	9128758.3466282208	7830115.4526848868	10328559.5410625730	7935437.0529057924	8302289.8705608975	8884500.6445300393	7862087.4405290904	9542649.2283164095	8748160.4835704900	7691905.4990895493	8584713.0464245547	8707263.5646678917
UNINTEGRATED	7193090.1690824302	6850338.0910154609	6044586.1853508260	6170520.3139519086	6488377.6146489996	7283625.5630508400	4728483.9235505536	8558197.9364585001	4150675.0415387936	6329240.8457661001	5761036.4014550587	6926578.4956651134	6356970.3507123860	6369644.4950274490	6530562.4372830754	6860909.6709036827	6570048.6830913778	7001759.1928174095	6118332.2992488416	6882718.8955216985	7871797.1222829027	6610618.7797522554	7750022.6068790769	7507640.0492838807	7316571.0164778586	6983423.6265553934	7461894.2905391576	6674465.6352569545	7533397.6839521090	7480537.7908107471	6338095.9548560334	6321892.3834837629	5862750.3602728778	6575254.0723146200	5486276.0645571286	6281164.2184432382	6050198.0068317754	5604955.3064434947	5829032.8964301907	5972794.0372360703	6249546.1527366005	7492047.6047697775	8705212.4181120396	5957954.9455975015	10705280.0163184945	6506986.4175363081	6301196.8312439779	5998183.7907690890	6753418.8715419145	5714343.2711026296	8436967.6993899252	5667424.3421110613	6135919.0584073914	6635502.3466597544	5796616.5889140097	7110209.5224038595	6562982.7588943625	5432360.8338782797	6400651.2293838654	6440714.1255499907
UNINTEGRATED|g__Achromobacter.s__Achromobacter_marplatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257.4579428136	0	0	722.8307205743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.7028495981	0	0	200.1878167798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_calcoaceticus	1327.7228126395	0	0	0	13856.0863079614	7511.2530709485	0	12062.6862937519	3681.9568604002	0	0	0	0	0	0	0	0	0	0	0	1348.7872340857	2654.0832344004	0	0	0	0	7267.0150615365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_oleivorans	0	0	0	0	17203.5101654551	7349.1148043701	0	10778.2886507085	3773.0739338935	0	0	0	0	0	0	0	0	0	0	0	1793.8752169696	4247.8643516312	0	0	0	0	6352.2081787385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_pittii	4780.3181423425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_fabrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.0670649677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_rhizogenes	0	0	0	0	0	0	0	4771.9529950260	0	91.6221885612	0	397.5976244693	0	0	0	0	0	0	0	0	292.6651761800	0	0	1355.3582112731	0	1388.9787680809	119.0521574043	0	2121.5810659962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agrobacterium.s__Agrobacterium_tumefaciens	0	0	0	0	0	0	0	6560.2504526006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8815.9364200982	843.2983496684	8029.4110617475	269.7678895831	0	5159.5176346696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
