#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	R1-1	R1-2	R1-3	R1-4	R1-5	R2-1	R2-2	R2-3	R2-4	R2-5	R3-1	R3-2	R3-3	R3-4	R3-5	R4-1	R4-2	R4-3	R4-4	R4-5	R5-1	R5-2	R5-3	R5-4	R5-5	R6-1	R6-2	R6-3	R6-4	R6-5	S1-1	S1-2	S1-3	S1-4	S1-5	S2-1	S2-2	S2-3	S2-4	S2-5	S3-1	S3-2	S3-3	S3-4	S3-5	S4-1	S4-2	S4-3	S4-4	S4-5	S5-1	S5-2	S5-3	S5-4	S5-5	S6-1	S6-2	S6-3	S6-4	S6-5
k__Bacteria	98.52826	89.94811	97.5121	96.19303	94.89162	97.54296	94.87524	99.19137	94.46024	99.26702	83.2062	90.59352	87.38301	82.55196	83.81407	83.29369	86.54364	90.00203	81.40008	82.95636	99.6305	98.37941	94.2684	98.7511	90.60431	99.10703	96.52595	97.66034	96.30879	90.90259	82.39875	75.96594	72.70257	77.90659	78.04655	77.19477	76.48629	87.32707	78.91291	80.82127	70.72968	63.4352	62.62879	70.09516	65.40742	78.90679	76.24722	74.22312	83.81339	82.28941	92.37562	88.00738	86.69741	86.36614	90.63106	81.05413	91.44532	83.89521	88.96128	90.18089
k__Archaea	1.47174	10.05189	2.4879	3.80697	5.10838	2.45704	5.12476	0.80863	5.53976	0.73298	16.7938	9.40648	12.61699	17.44804	16.18593	16.70631	13.45636	9.99797	18.59992	17.04364	0.3695	1.62059	5.7316	1.2489	9.39569	0.89297	3.47405	2.33966	3.69121	9.09741	17.60125	24.03406	27.29743	22.09341	21.95345	22.80523	23.51371	12.67293	21.08709	19.17873	29.27032	36.5648	37.37121	29.90484	34.59258	21.09321	23.75278	25.77688	16.18661	17.71059	7.62438	11.99262	13.30259	13.63386	9.36894	18.94587	8.55468	16.10479	11.03872	9.81911
k__Bacteria|p__Proteobacteria	85.2557	68.44017	87.46263	71.90075	77.80837	77.53656	74.67135	82.11024	75.89515	91.33101	47.71258	64.40989	65.94812	54.84553	49.705	55.10042	54.16892	50.9863	47.02716	51.2242	95.94342	84.96886	77.16196	87.0167	68.28537	83.8105	73.16034	78.52304	74.90146	65.31173	27.18532	24.66077	20.8905	28.26178	23.73012	28.19562	25.91506	35.76636	20.90392	23.20293	14.60318	13.44256	14.37067	16.30547	15.67131	20.79593	17.85318	15.93745	21.14586	16.02203	53.30914	35.89184	31.03762	33.33585	34.77333	30.73643	44.69412	22.38942	31.47836	33.70941
k__Bacteria|p__Actinobacteria	8.70746	12.70572	5.23547	19.67188	11.88846	15.77684	8.7079	13.45444	11.88394	5.16072	29.45373	20.8076	16.52033	21.38453	29.17001	19.39607	25.95444	32.7173	28.50126	24.88351	2.09286	9.82439	13.50483	6.80542	16.51183	5.83053	15.12991	13.27387	12.7204	18.36747	33.22839	27.91965	32.3662	25.40757	35.70913	30.711	32.99925	32.8124	35.43181	39.85667	46.00242	40.23034	39.16059	44.54896	40.60517	42.04702	45.15258	47.31145	51.60861	56.88332	23.1131	32.50154	37.07006	36.10291	40.22922	31.54428	31.35257	43.61589	36.78424	38.3148
k__Bacteria|p__Bacteroidetes	2.53441	3.42865	1.64575	1.67742	2.6597	1.82864	8.79284	2.69871	3.87613	1.79152	2.58074	2.4435	1.81122	2.26033	1.57204	1.28385	2.28823	1.77173	2.30467	3.80495	0.71823	2.03491	1.35881	4.058	2.81571	8.41997	4.17377	3.55122	6.16478	3.44912	5.83669	5.1854	2.99178	8.23835	2.97973	1.67581	3.14888	3.70888	3.75215	3.3072	1.62076	2.73924	1.99997	1.99049	1.95112	1.8528	2.84691	2.27024	1.97295	2.08878	1.92077	3.52729	4.3337	4.34687	3.01241	3.70824	5.25899	3.59254	11.05916	5.82359
k__Archaea|p__Thaumarchaeota	1.46998	9.93474	2.3557	3.70721	5.02491	2.33162	5.01439	0.80863	5.48667	0.72691	16.39109	9.26122	12.52987	17.36558	16.03208	16.06004	13.15073	9.69505	18.41958	16.92105	0.35813	1.59533	5.67794	1.2489	9.29765	0.84565	3.33439	2.23186	3.66132	8.977	16.93852	23.58275	26.63599	21.9241	21.46543	21.72002	22.45808	12.25464	20.49922	18.68832	27.75947	35.67438	36.96555	29.45277	34.16975	18.43702	23.05762	25.25631	15.88355	17.39421	6.95236	11.59113	13.06294	13.50445	9.33553	17.67763	7.95111	15.58303	10.90321	9.46946
k__Bacteria|p__Nitrospirae	1.44083	3.20866	2.26348	2.19043	1.83391	1.40482	1.90193	0.26846	1.89239	0.57954	1.79366	1.44659	1.35234	2.01415	1.62793	3.0632	2.3413	3.5078	1.95984	1.62607	0.54172	0.90792	1.47524	0.41395	2.16278	0.63711	2.44994	1.10794	1.32147	1.86435	13.16725	15.59491	13.8516	12.3397	13.41728	10.58544	8.99806	9.54543	11.0323	10.98387	3.74639	4.38194	4.39595	4.86511	4.93261	7.69503	8.3415	7.28825	8.032	5.45529	11.88237	14.31208	12.21901	10.32284	9.36468	11.40781	7.21388	11.50162	7.95409	9.99412
k__Bacteria|p__Acidobacteria	0.23319	1.46745	0.49113	0.07289	0.23234	0.44709	0.11509	0.33349	0.09812	0.26954	0.02214	0.06085	0.04616	0.09351	0.03934	0.16811	0.02197	0.02477	0.0409	0.0	0.21857	0.47037	0.34872	0.23466	0.25954	0.29347	1.00887	0.97992	0.62396	0.49048	0.39987	0.56941	0.48022	0.77702	0.16984	0.84825	0.65934	1.99134	0.30418	0.49947	0.81613	0.11761	0.04518	0.17814	0.12991	0.70435	0.0	0.0	0.0	0.09765	0.46746	0.51255	0.42437	0.40929	1.39509	0.7937	1.71934	1.32605	0.42923	0.82059
k__Bacteria|p__Gemmatimonadetes	0.16916	0.21486	0.06745	0.32917	0.11166	0.11428	0.09444	0.0338	0.05439	0.00556	0.20929	0.095	0.04961	0.02464	0.09905	0.03662	0.10016	0.15317	0.10603	0.03641	0.03058	0.10269	0.08028	0.04766	0.04144	0.0371	0.12877	0.02785	0.09298	0.03456	1.40957	0.88494	0.59036	1.2528	0.71653	0.56325	0.81668	1.33656	0.90666	1.08938	0.44614	0.46634	0.35499	0.33356	0.25413	0.5108	0.57026	0.55871	0.38443	0.70843	0.49737	0.88607	0.96541	0.9891	1.10919	0.32513	0.62704	0.6059	0.47027	0.69658
k__Bacteria|p__Firmicutes	0.09707	0.00802	0.10523	0.00506	0.02489	0.11929	0.21502	0.2886	0.69263	0.12914	0.14433	0.19614	1.30064	0.88409	0.20123	0.9437	0.51343	0.21712	0.6837	1.04973	0.0256	0.02404	0.01448	0.04293	0.08808	0.02993	0.05862	0.15284	0.31623	0.94939	0.1738	0.19418	0.17911	0.35401	0.15375	0.55586	0.56961	0.34923	4.40539	0.34054	0.0	0.12839	0.10569	0.07332	0.17652	0.01084	0.0	0.0	0.0	0.0	0.06066	0.0	0.0	0.0	0.02224	0.07615	0.0	0.0	0.05385	0.0
